indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
Grandoreiro,alias,Grandoreiro,Este es el nombre principal utilizado para referirse al troyano bancario en múltiples informes y análisis de inteligencia de amenazas,Alta,2017-01-01,,malware;troyano_bancario;stealer
Malware stealer brasileño,alias,Grandoreiro,Este alias descriptivo resalta el país de origen del malware (Brasil) y su función principal (robar información),Alta,2024-04-01,,malware;troyano_bancario;stealer;brasil
Troyano bancario latinoamericano,alias,Grandoreiro,Categorización genérica basada en el origen geográfico (Brasil) y la funcionalidad principal (fraude bancario),High,2017-01-01,Multiple Vendors,classification;latin_america;banking_trojan
Tetrade,alias,Grandoreiro,Nombre de grupo que agrupa a Grandoreiro con otros troyanos bancarios brasileños relacionados,Medium,2020-01-01,Kaspersky,threat_group;classification;brazilian_malware
Trojan:Win32/Grandoreiro,alias,Grandoreiro,Nombre de detección genérico utilizado por Microsoft en sus productos de seguridad,High,2020-01-01,Microsoft,detection_name;microsoft;classification
Trojan:Win32/Grandoreiro.PSYV.mtb,alias,Grandoreiro,Firma de detección específica para una variante particular utilizada por Microsoft,High,2022-01-01,Microsoft,detection_name;microsoft;variant
Trojan.Win32.Grandoreiro.cfn,alias,Grandoreiro,Firma de detección específica para una variante documentada por Trend Micro,High,2023-01-01,Trend Micro,detection_name;trend_micro;variant
Banker.Win.Grandoreiro,alias,Grandoreiro,Nombre de detección usado por Check Point que enfatiza su función como troyano bancario,High,2021-01-01,Check Point,detection_name;check_point;classification
Banker.Wins.Grandoreiro,alias,Grandoreiro,Variante del nombre de detección usado por Check Point,High,2021-01-01,Check Point,detection_name;check_point;classification
Win32/Spy.Grandoreiro.DB,alias,Grandoreiro,Nombre de detección de ESET para el componente descargador (cargador),High,2020-01-01,ESET,detection_name;eset;loader_component
Win32/Spy.Grandoreiro.BM,alias,Grandoreiro,Nombre de detección de ESET para el componente de payload principal,High,2020-01-01,ESET,detection_name;eset;main_payload
Trojan-Banker.Win32.Grandoreiro,alias,Grandoreiro,Nombre de detección que combina la clasificación de troyano bancario con la plataforma objetivo,High,2020-01-01,Check Point,detection_name;check_point;classification
NewGrandoreiro,alias,Grandoreiro,Nombre dado a una bifurcación o variante más nueva con DGA rediseñado y código base modificado que apareció antes de la interrupción policial de enero 2024,High,2023-12-01,ESET,variant;fork;evolution
Grandoreiro Light,alias,Grandoreiro,Versión más ligera y simplificada del troyano dirigida específicamente a un conjunto más pequeño de bancos (~30) en México,High,2024-01-01,Kaspersky,variant;mexico;lightweight
