indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
freedynamicdns.org,domain,Grandoreiro,"Dominio base para DGA (No-IP DDNS) utilizado en todas las variantes desde 2020",High,2020-10-01,"ESET Analysis Fragment 14",c2;dga;ddns;infrastructure
zapto.org,domain,Grandoreiro,"Dominio base para DGA (No-IP DDNS) utilizado en comunicaciones C2",High,2020-10-01,"ESET Analysis Fragment 14",c2;dga;ddns;infrastructure
rufnag.com,domain,Grandoreiro,"Dominio C2 y remitente de correos de phishing en campañas 2024",High,2024-03-01,"IBM X-Force Fragment 9",c2;phishing;infrastructure
pjohconstruccionescpaz.com,domain,Grandoreiro,"Dominio C2 y punto de descarga de payloads",High,2024-03-01,"IBM X-Force Fragment 9",c2;dropper;infrastructure
norwayeast.cloudapp.azure.com,domain,Grandoreiro,"Dominio en Azure Cloud utilizado para distribución de malware",High,2024-03-01,"IBM X-Force Fragment 9",dropper;infrastructure;azure;cloud
crazydocuments.com,domain,Grandoreiro,"Dominio C2 y origen de correos de phishing",High,2024-03-01,"IBM X-Force Fragment 9",c2;phishing;infrastructure
southeastasia.cloudapp.azure.com,domain,Grandoreiro,"Dominio en Azure utilizado para alojar payloads maliciosos",High,2024-03-01,"IBM X-Force Fragment 9",dropper;infrastructure;azure;cloud
eastus.cloudapp.azure.com,domain,Grandoreiro,"Dominio de Azure usado en la infraestructura de distribución",High,2024-03-01,"IBM X-Force Fragment 9",dropper;infrastructure;azure;cloud
dnsfor.me,domain,Grandoreiro,"Dominio de comando y control secundario",High,2024-03-01,"IBM X-Force Fragment 9",c2;infrastructure
neat-url.com,domain,Grandoreiro,"Dominio de comando y control secundario",High,2024-03-01,"IBM X-Force Fragment 9",c2;infrastructure
"vmi[dígitos].contaboserver.net",pattern,Grandoreiro,"Patrón de subdominios en Contabo utilizado para redirección y descarga",High,2024-03-01,"Forcepoint/IBM X-Force Fragment 3",c2;dropper;redirection;infrastructure;hosting
20.237.166.161,ipv4,Grandoreiro,"Servidor C2 principal alojado en Azure",High,2024-01-01,"ESET Analysis Fragment 14",c2;azure;infrastructure
20.120.249.43,ipv4,Grandoreiro,"Servidor C2 secundario alojado en Azure",High,2024-01-01,"ESET Analysis Fragment 14",c2;azure;infrastructure
52.161.154.239,ipv4,Grandoreiro,"Servidor C2 alojado en Azure identificado en operaciones 2024",High,2024-01-01,"ESET Analysis Fragment 14",c2;azure;infrastructure
167.114.138.249,ipv4,Grandoreiro,"Servidor C2 alojado en OVH utilizado por operadores de Grandoreiro",High,2024-01-01,"ESET Analysis Fragment 14",c2;ovh;infrastructure
66.70.160.251,ipv4,Grandoreiro,"Servidor C2 alojado en OVH para comunicaciones post-infección",High,2024-01-01,"ESET Analysis Fragment 14",c2;ovh;infrastructure
167.114.4.175,ipv4,Grandoreiro,"Servidor C2 alojado en OVH usado en operaciones 2024",High,2024-01-01,"ESET Analysis Fragment 14",c2;ovh;infrastructure
18.215.238.53,ipv4,Grandoreiro,"Servidor C2 alojado en AWS para recepción de datos robados",High,2024-01-01,"ESET Analysis Fragment 14",c2;aws;infrastructure;exfiltration
54.219.169.167,ipv4,Grandoreiro,"Servidor C2 alojado en AWS utilizado en el canal principal",High,2024-01-01,"ESET Analysis Fragment 14",c2;aws;infrastructure
