indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
"T1587.001",mitre_attack,Grandoreiro,"Desarrollo de malware personalizado basado en Delphi con cargadores y payload principal",High,2017-01-01,Fragment 14,"resource_development;malware_development;delphi"
"T1566",mitre_attack,Grandoreiro,"Uso de phishing como vector de infección primario suplantando entidades legítimas",High,2017-01-01,Fragment 1,"initial_access;phishing;social_engineering"
"T1566.001",mitre_attack,Grandoreiro,"Phishing mediante adjuntos maliciosos como archivos VBS que inician el proceso de infección",High,2024-03-01,,"initial_access;spearphishing_attachment;vbs;dropper"
"T1566.002",mitre_attack,Grandoreiro,"Spearphishing con enlaces maliciosos que redirigen a descargas a través de servidores intermedios",High,2017-01-01,Fragment 3,"initial_access;phishing;malicious_link"
"T1189",mitre_attack,Grandoreiro,"Compromiso drive-by a través de enlaces de phishing que llevan a sitios maliciosos que alojan el malware",High,2024-03-01,,"initial_access;drive-by_compromise;website;download"
"T1204.002",mitre_attack,Grandoreiro,"Depende de ejecución por usuario de archivos ZIP descargados y contenido malicioso",High,2017-01-01,Fragment 6,"execution;user_execution;social_engineering"
"T1059.003",mitre_attack,Grandoreiro,"Ejecución de comandos de shell arbitrarios recibidos del servidor C2",High,2024-03-01,,"execution;command_shell;remote_command"
"T1059.005",mitre_attack,Grandoreiro,"Uso de scripts Visual Basic (VBS) ofuscados para descifrar y ejecutar payloads",High,2022-01-01,Fragment 12,"execution;scripting;vbs;dropper"
"T1059.007",mitre_attack,Grandoreiro,"Ejecución de JavaScript en el navegador para interactuar con elementos de sitios bancarios",High,2022-01-01,Fragment 8,"execution;scripting;javascript;browser"
"T1547.001",mitre_attack,Grandoreiro,"Persistencia mediante claves Run del registro para ejecución automática",High,2017-01-01,Fragment 8,"persistence;registry;autorun;boot"
"T1053.005",mitre_attack,Grandoreiro,"Uso de tareas programadas para persistencia",Medium,2022-01-01,Fragment 35,"persistence;scheduled_task;windows_task_scheduler"
"T1574.001",mitre_attack,Grandoreiro,"Secuestro de orden de búsqueda de DLL (Side-Loading) con dbghelp.dll junto a ejecutables legítimos",High,2023-01-01,Fragment 13,"defense_evasion;persistence;privilege_escalation;hijack;dll_sideloading"
"T1574.002",mitre_attack,Grandoreiro,"Carga lateral de DLL (DLL Side-Loading) usando específicamente el ejecutable kitbootnetsuuui.exe para cargar dbghelp.dll maliciosa",High,2024-03-01,,"defense_evasion;persistence;privilege_escalation;dll_sideloading;T1574.002"
"T1140",mitre_attack,Grandoreiro,"Descifrado de cadenas y payloads usando algoritmos multicapa y codificaciones",High,2017-01-01,Fragment 3,"defense_evasion;deobfuscation;decryption"
"T1027",mitre_attack,Grandoreiro,"Ofuscación extensiva que incluye cifrado de cadenas de múltiples capas y relleno binario (hasta 300MB) para dificultar análisis",High,2024-03-01,,"defense_evasion;obfuscation;binary_padding;string_encryption"
"T1027.001",mitre_attack,Grandoreiro,"Inflado del tamaño del ejecutable (100MB+) con recursos para evadir análisis",High,2017-01-01,Fragment 4,"defense_evasion;obfuscation;binary_padding"
"T1027.002",mitre_attack,Grandoreiro,"Empaquetamiento de ejecutables Delphi para dificultar análisis estático",High,2017-01-01,Fragment 12,"defense_evasion;obfuscation;software_packing"
"T1112",mitre_attack,Grandoreiro,"Modificación del registro para persistencia y almacenamiento de configuración",High,2017-01-01,Fragment 8,"defense_evasion;registry_modification"
"T1036.005",mitre_attack,Grandoreiro,"Uso de nombres de archivo legítimos como dbghelp.dll o ATISSDDRIVER.EXE",High,2022-01-01,Fragment 10,"defense_evasion;masquerading;match_legitimate_name"
"T1497",mitre_attack,Grandoreiro,"Múltiples comprobaciones anti-sandbox y anti-análisis para evitar detección",High,2017-01-01,Fragment 4,"defense_evasion;virtualization_sandbox_evasion;anti_analysis"
"T1497.001",mitre_attack,Grandoreiro,"Detección activa de entorno sandbox mediante verificación de hardware, procesos, red y usuarios específicos",High,2024-03-01,,"defense_evasion;virtualization_sandbox_evasion;anti_analysis;T1497.001"
"T1070.004",mitre_attack,Grandoreiro,"Eliminación de archivos ZIP descargados y mensajes de spam enviados",High,2022-01-01,Fragment 9,"defense_evasion;indicator_removal;file_deletion"
"T1218.007",mitre_attack,Grandoreiro,"Utiliza msiexec.exe como proxy para ejecutar código malicioso desde instaladores MSI",High,2022-01-01,Fragment 7,"defense_evasion;execution;proxy_execution;msiexec"
"T1562.001",mitre_attack,Grandoreiro,"Deshabilitación de alertas de seguridad en clientes Microsoft Outlook",High,2025-05-01,"Análisis de Inteligencia de Amenazas","defense_evasion;impair_defenses;disable_security_tools"
"T1555.003",mitre_attack,Grandoreiro,"Robo de cookies de sesión de navegadores y credenciales para acceso persistente a cuentas bancarias",High,2024-03-01,,"credential_access;credentials_from_web_browsers;cookies;banking"
"T1056.001",mitre_attack,Grandoreiro,"Captura de pulsaciones de teclas para robar credenciales bancarias",High,2017-01-01,Fragment 1,"collection;credential_access;keylogging"
"T1056.002",mitre_attack,Grandoreiro,"Ventanas emergentes falsas para capturar credenciales bancarias y códigos 2FA",High,2017-01-01,Fragment 1,"collection;credential_access;gui_input_capture"
"T1115",mitre_attack,Grandoreiro,"Captura y reemplazo de datos del portapapeles, especialmente direcciones crypto",High,2022-01-01,Fragment 10,"collection;clipboard_data;cryptocurrency"
"T1005",mitre_attack,Grandoreiro,"Recopilación de datos de archivos locales durante harvesting de correos",High,2022-01-01,Fragment 9,"collection;data_from_local_system;email_harvesting"
"T1114.001",mitre_attack,Grandoreiro,"Abuso de Outlook Security Manager para acceder a correos electrónicos locales",High,2022-01-01,Fragment 6,"collection;email_collection;outlook;propagation"
"T1113",mitre_attack,Grandoreiro,"Capacidad de capturar o compartir el contenido de la pantalla de la víctima para monitoreo de actividad",High,2024-03-01,,"collection;screen_capture;monitoring"
"T1213",mitre_attack,Grandoreiro,"Extracción de datos de repositorios de información como navegadores",High,2025-05-01,"Análisis de Inteligencia de Amenazas","collection;data_from_information_repositories"
"T1185",mitre_attack,Grandoreiro,"Robo de cookies de sesión de navegadores para acceso a cuentas bancarias",High,2025-05-01,"Análisis de Inteligencia de Amenazas","collection;browser_session_hijacking"
"T1010",mitre_attack,Grandoreiro,"Monitoreo del título de ventana en primer plano para detectar sitios bancarios",High,2017-01-01,Fragment 1,"discovery;application_window_discovery;banking"
"T1057",mitre_attack,Grandoreiro,"Enumeración de procesos en ejecución para detectar herramientas de análisis",High,2017-01-01,Fragment 4,"discovery;process_discovery;anti_analysis"
"T1518",mitre_attack,Grandoreiro,"Enumeración de programas instalados, incluyendo navegadores web y software de seguridad",High,2025-05-01,"Análisis de Inteligencia de Amenazas","discovery;software_discovery"
"T1518.001",mitre_attack,Grandoreiro,"Identificación de productos antivirus y software de seguridad bancaria",High,2017-01-01,Fragment 14,"discovery;security_software_discovery;antivirus"
"T1082",mitre_attack,Grandoreiro,"Recopilación de información detallada del sistema para perfilado",High,2017-01-01,Fragment 2,"discovery;system_information_discovery;profiling"
"T1033",mitre_attack,Grandoreiro,"Obtención de nombre de usuario actual y nombre de computadora",High,2017-01-01,Fragment 6,"discovery;system_owner_user_discovery;profiling"
"T1016",mitre_attack,Grandoreiro,"Determinación de dirección IP pública y geolocalización de la víctima",High,2017-01-01,Fragment 3,"discovery;system_network_configuration_discovery;geo_targeting"
"T1083",mitre_attack,Grandoreiro,"Búsqueda de directorios específicos y escaneo de archivos para información",High,2022-01-01,Fragment 9,"discovery;file_and_directory_discovery;email_harvesting"
"T1124",mitre_attack,Grandoreiro,"Consulta a servidores NTP (time.nist.gov) para obtener hora precisa usada como semilla para DGA",High,2024-03-01,,"discovery;system_time_discovery;dga;seed"
"T1614",mitre_attack,Grandoreiro,"Uso de servicios de geolocalización (ip-api.com) para determinar ubicación de víctima y ajustar comportamiento",High,2024-03-01,,"discovery;system_location_discovery;targeting;geofencing"
"T1071.001",mitre_attack,Grandoreiro,"Comunicación C2 vía HTTP/HTTPS usando componentes RealThinClient",High,2017-01-01,Fragment 14,"command_and_control;web_protocols;rtc_sdk"
"T1071.004",mitre_attack,Grandoreiro,"Uso de DNS sobre HTTPS (DoH) para resolver dominios C2 eludiendo filtros",High,2024-01-01,Fragment 9,"command_and_control;dns;doh;filter_evasion"
"T1568.002",mitre_attack,Grandoreiro,"Uso extensivo de Algoritmos de Generación de Dominios (DGA) para C2",High,2020-10-01,Fragment 1,"command_and_control;dynamic_resolution;dga;resilience"
"T1573.001",mitre_attack,Grandoreiro,"Cifrado de tráfico C2 mediante cifrado de flujo personalizado y simétrico",High,2017-01-01,Fragment 14,"command_and_control;encrypted_channel;symmetric_cryptography"
"T1132.002",mitre_attack,Grandoreiro,"Codificación no estándar de datos dentro del protocolo RTC",High,2017-01-01,Fragment 14,"command_and_control;data_encoding;non_standard_encoding"
"T1571",mitre_attack,Grandoreiro,"Comunicación a través de puertos TCP no estándar (30154, 42195, etc.)",High,2017-01-01,Fragment 14,"command_and_control;non_standard_port;evasion"
"T1219",mitre_attack,Grandoreiro,"Capacidades significativas de backdoor y control remoto a través de JavaScript y APIs",High,2025-05-01,"Análisis de Inteligencia de Amenazas","command_and_control;remote_access_software"
"T1041",mitre_attack,Grandoreiro,"Exfiltración de credenciales robadas y datos recopilados sobre canal C2",High,2017-01-01,Fragment 14,"exfiltration;exfiltration_over_c2;data_theft"
"T1496",mitre_attack,Grandoreiro,"Secuestro de clientes Microsoft Outlook para enviar spam/phishing a nuevas víctimas",High,2025-05-01,"Análisis de Inteligencia de Amenazas","impact;resource_hijacking;spam_distribution"
"T1489",mitre_attack,Grandoreiro,"Termina procesos en ejecución seleccionados incluyendo software de seguridad para evitar detección",High,2024-03-01,,"impact;service_stop;defense_evasion;process_termination"
